farmer_id,state,district,crop_type,season,land_size_ha,soil_type,rainfall_mm,irrigation_type,loan_amount_inr,prior_loan_count,prior_default_flag,repayment_score,annual_income_inr,existing_debt_inr,default_risk
FC-000001,HR,HR-West,Mustard,Rabi,1.28,ClayLoam,296.4,Drip,94209,2,0,77.2,55103,63295,0.439
FC-000002,TG,TG-South,Cotton,Kharif,0.84,ClayLoam,1156.7,Drip,62655,3,0,95.1,55570,43213,0.2484
FC-000003,PB,PB-Majha,Rice,Kharif,1.38,ClayLoam,715.2,Canal,90256,5,0,68.1,99677,0,0.2561
FC-000004,KA,KA-Central,Sugarcane,Rabi,2.11,Alluvial,1305.2,Canal,191211,0,0,79.0,280821,6612,0.1438
FC-000005,AP,AP-Rayalaseema,Cotton,Kharif,0.88,Alluvial,1041.4,Rainfed,61423,3,0,77.1,40000,0,0.1807
FC-000006,BR,BR-South,Maize,Kharif,2.02,Sandy,1459.8,Canal,179492,2,0,51.8,57806,67801,0.7881
FC-000007,RJ,RJ-Mewar,Wheat,Rabi,1.33,Alluvial,414.1,Rainfed,87455,2,0,52.7,93512,134542,0.6117
FC-000008,MH,MH-Vidarbha,Wheat,Rabi,10.0,Red,1084.4,Tubewell,525475,1,0,97.5,434847,11001,0.1574
FC-000009,MH,MH-Western,Soybean,Kharif,1.28,Laterite,961.8,Canal,67453,4,0,69.8,40000,12115,0.3236
FC-000010,UP,UP-Eastern,Millet,Kharif,1.31,Alluvial,981.1,Canal,120160,0,0,93.5,40000,17119,0.5953
FC-000011,BR,BR-Gangetic,Rice,Kharif,3.48,Alluvial,1164.1,Rainfed,324192,0,0,91.7,181744,0,0.3449
FC-000012,UP,UP-Bundelkhand,Mustard,Rabi,0.9,Alluvial,730.6,Rainfed,60011,2,0,90.7,40000,46044,0.5338
FC-000013,BR,BR-North,Wheat,Rabi,1.38,Alluvial,983.1,Rainfed,161458,0,0,88.9,147376,5378,0.2352
FC-000014,UP,UP-Western,Sugarcane,Rabi,0.6,Alluvial,1348.0,Tubewell,61494,1,0,68.8,69321,6527,0.1957
FC-000015,MP,MP-Chambal,Mustard,Rabi,1.05,Black,1087.0,Rainfed,68381,2,0,72.7,40000,14605,0.3831
FC-000016,MH,MH-Marathwada,Soybean,Kharif,0.66,Black,1246.1,Tubewell,89888,6,0,68.5,40000,3947,0.5176
FC-000017,TN,TN-Delta,Groundnut,Rabi,0.31,Alluvial,1015.1,Rainfed,47765,4,0,88.5,40000,18743,0.3912
FC-000018,PB,PB-Doaba,Rice,Rabi,0.48,ClayLoam,566.3,Canal,43660,3,0,93.2,40000,0,0.2528
FC-000019,BR,BR-North,Wheat,Rabi,0.71,Alluvial,1065.8,Canal,76195,3,0,49.9,50894,29121,0.6238
FC-000020,PB,PB-Majha,Rice,Kharif,1.39,ClayLoam,778.2,Drip,85431,3,0,69.3,68327,41016,0.2891
FC-000021,BR,BR-Gangetic,Rice,Rabi,0.26,Red,1665.5,Canal,48534,2,0,94.3,40000,4617,0.27
FC-000022,TN,TN-South,Rice,Kharif,1.38,Laterite,980.4,Rainfed,130293,1,0,70.4,57994,66342,0.7546
FC-000023,GJ,GJ-South,Cotton,Kharif,1.35,ClayLoam,987.4,Drip,97750,2,0,59.6,116708,119246,0.2999
FC-000024,BR,BR-Gangetic,Rice,Kharif,0.29,Alluvial,1294.9,Drip,69229,2,0,90.5,40000,13098,0.3949
FC-000025,PB,PB-Doaba,Mustard,Rabi,1.51,Alluvial,696.0,Tubewell,104618,3,0,55.1,88934,87892,0.2372
FC-000026,RJ,RJ-Mewar,Wheat,Rabi,0.94,Sandy,502.2,Canal,92482,5,0,83.0,63751,7660,0.2174
FC-000027,KA,KA-South,Rice,Rabi,1.63,Red,1228.3,Rainfed,90502,1,0,76.5,115190,3011,0.1034
FC-000028,BR,BR-South,Rice,Rabi,1.25,ClayLoam,887.8,Tubewell,83887,4,0,100.0,82479,12616,0.1817
FC-000029,RJ,RJ-Shekhawati,Millet,Kharif,1.63,Alluvial,308.8,Drip,123557,3,0,68.5,40000,0,0.5677
FC-000030,MH,MH-Konkan,Soybean,Kharif,1.45,Red,984.7,Tubewell,125319,2,0,71.0,78389,8643,0.3279
FC-000031,UP,UP-Central,Wheat,Rabi,1.75,Alluvial,921.3,Drip,108079,7,0,57.0,60311,9999,0.4157
FC-000032,KA,KA-Coastal,Wheat,Rabi,4.55,Laterite,672.2,Tubewell,285388,3,0,63.2,149905,65766,0.4753
FC-000033,BR,BR-North,Rice,Kharif,1.39,ClayLoam,1307.6,Rainfed,140727,3,0,84.8,99198,0,0.2055
FC-000034,TN,TN-West,Rice,Kharif,0.86,Black,1304.4,Drip,100429,4,0,67.3,40000,0,0.4904
FC-000035,AP,AP-Upland,Maize,Rabi,4.65,Laterite,982.9,Drip,242800,2,0,48.3,204436,38228,0.2609
FC-000036,MP,MP-Mahakoshal,Soybean,Kharif,0.79,ClayLoam,676.9,Drip,65019,2,0,77.9,40000,6320,0.3939
FC-000037,RJ,RJ-Hadoti,Pulses,Kharif,2.1,Laterite,384.7,Rainfed,148670,1,0,70.6,69882,0,0.2461
FC-000038,KA,KA-Central,Rice,Kharif,0.56,Red,1080.1,Rainfed,60895,1,0,78.4,40000,0,0.2511
FC-000039,GJ,GJ-North,Groundnut,Rabi,0.58,Black,250.0,Tubewell,45045,1,0,76.3,40000,7851,0.383
FC-000040,MH,MH-Vidarbha,Soybean,Kharif,0.29,Red,1161.3,Canal,39425,2,0,100.0,40000,17874,0.3173
FC-000041,MP,MP-Malwa,Pulses,Kharif,1.87,Alluvial,1127.1,Rainfed,98314,4,0,84.9,40000,6582,0.3402
FC-000042,BR,BR-Gangetic,Rice,Rabi,1.4,Alluvial,1378.8,Rainfed,100009,3,0,85.9,90054,11840,0.2754
FC-000043,UP,UP-Bundelkhand,Sugarcane,Rabi,2.65,Alluvial,1018.3,Canal,248363,2,0,76.4,337634,21540,0.1379
FC-000044,UP,UP-Central,Wheat,Rabi,1.47,Black,1208.8,Drip,141834,4,0,66.7,52042,27833,0.546
FC-000045,GJ,GJ-Central,Maize,Kharif,1.19,Black,716.0,Drip,85600,3,1,67.1,49725,400000,0.7942
FC-000046,UP,UP-Central,Cotton,Kharif,1.11,Alluvial,773.2,Rainfed,72209,1,0,57.9,43963,17194,0.637
FC-000047,PB,PB-Majha,Wheat,Rabi,1.08,Alluvial,648.5,Tubewell,135015,1,0,66.0,82363,0,0.1704
FC-000048,TG,TG-South,Rice,Rabi,0.7,Red,834.5,Drip,66731,2,0,82.3,40000,30115,0.3398
FC-000049,UP,UP-Eastern,Wheat,Rabi,3.41,Alluvial,1127.7,Drip,196757,3,0,84.0,244578,10366,0.1068
FC-000050,BR,BR-North,Sugarcane,Kharif,1.09,Alluvial,1317.9,Rainfed,132348,2,0,31.0,266704,46158,0.299
FC-000051,KA,KA-North,Soybean,Kharif,3.25,Red,693.1,Rainfed,280211,2,1,28.7,180804,159302,0.7819
FC-000052,UP,UP-Central,Rice,Kharif,0.53,Alluvial,1061.0,Rainfed,62155,2,0,80.8,40000,44788,0.4376
FC-000053,HR,HR-East,Mustard,Rabi,4.46,Alluvial,663.2,Drip,351479,2,0,72.1,230649,30739,0.2819
FC-000054,PB,PB-Majha,Rice,Kharif,0.8,Alluvial,501.8,Rainfed,56519,3,0,80.6,40000,0,0.2915
FC-000055,TG,TG-North,Maize,Kharif,0.8,Red,1149.4,Tubewell,82106,3,0,87.6,40000,14566,0.3674
FC-000056,BR,BR-Gangetic,Cotton,Kharif,1.26,ClayLoam,951.6,Canal,114069,2,0,65.6,58442,42289,0.6674
FC-000057,UP,UP-Central,Pulses,Kharif,1.0,Alluvial,1210.1,Rainfed,67644,3,0,69.9,40000,34525,0.5273
FC-000058,MP,MP-Bundelkhand,Soybean,Kharif,0.94,Alluvial,691.3,Rainfed,92168,1,1,54.7,40000,13073,0.8355
FC-000059,RJ,RJ-Hadoti,Pulses,Rabi,0.64,Sandy,555.1,Canal,83019,2,0,66.9,40000,7574,0.5042
FC-000060,MH,MH-Marathwada,Cotton,Kharif,1.01,Black,735.0,Canal,74773,2,0,82.2,87036,2677,0.2516
FC-000061,KA,KA-Coastal,Cotton,Kharif,1.17,Black,399.5,Rainfed,75782,2,0,81.8,53133,83551,0.898
FC-000062,BR,BR-South,Rice,Rabi,0.38,ClayLoam,1127.3,Rainfed,63963,2,0,58.0,40000,0,0.5005
FC-000063,GJ,GJ-Saurashtra,Groundnut,Rabi,2.21,Sandy,904.4,Rainfed,131672,2,0,93.3,115979,18999,0.1673
FC-000064,AP,AP-Coastal,Maize,Kharif,0.81,Red,738.3,Rainfed,67050,1,0,84.4,40000,0,0.3869
FC-000065,BR,BR-Gangetic,Rice,Kharif,3.14,Alluvial,750.0,Rainfed,306837,4,0,56.3,182991,9986,0.5938
FC-000066,KA,KA-North,Cotton,Kharif,1.19,Sandy,1214.5,Canal,131730,3,0,56.2,77083,8942,0.335
FC-000067,AP,AP-Rayalaseema,Groundnut,Kharif,1.13,Alluvial,824.3,Tubewell,93344,4,0,80.3,73285,64560,0.5243
FC-000068,BR,BR-South,Wheat,Rabi,3.92,Sandy,1204.7,Rainfed,345063,0,0,75.5,225857,2935,0.2132
FC-000069,RJ,RJ-Mewar,Millet,Kharif,0.24,Alluvial,384.1,Canal,61167,2,0,80.6,40000,7531,0.4869
FC-000070,AP,AP-Rayalaseema,Cotton,Kharif,0.48,Alluvial,394.4,Tubewell,52495,3,0,64.1,40000,0,0.4954
FC-000071,TG,TG-Central,Cotton,Kharif,1.06,Red,961.5,Rainfed,116571,1,0,81.2,40000,36210,0.8839
FC-000072,RJ,RJ-Marwar,Wheat,Rabi,1.48,Sandy,295.1,Drip,84810,1,0,98.8,95061,49936,0.235
FC-000073,TN,TN-West,Groundnut,Rabi,2.22,Black,1151.6,Drip,125171,4,0,77.1,150441,105894,0.2578
FC-000074,TN,TN-West,Pulses,Rabi,0.31,Sandy,880.2,Tubewell,63023,1,0,78.5,40000,9824,0.274
FC-000075,UP,UP-Central,Cotton,Kharif,0.91,Alluvial,696.2,Rainfed,85613,2,0,100.0,40000,35649,0.6378
FC-000076,BR,BR-Gangetic,Rice,Kharif,1.19,Alluvial,1399.1,Drip,88163,1,0,81.2,61374,32841,0.3497
FC-000077,UP,UP-Bundelkhand,Sugarcane,Kharif,0.2,Alluvial,935.0,Tubewell,33005,1,0,100.0,40000,5826,0.2982
FC-000078,KA,KA-Coastal,Sugarcane,Kharif,1.07,Alluvial,961.7,Tubewell,144842,3,0,66.4,192099,77594,0.1956
FC-000079,UP,UP-Central,Mustard,Rabi,5.6,Alluvial,915.7,Rainfed,296320,2,0,92.0,183233,49993,0.1928
FC-000080,MP,MP-Malwa,Pulses,Rabi,1.48,Black,929.3,Tubewell,137362,1,0,79.0,51286,13533,0.3632
FC-000081,MP,MP-Mahakoshal,Soybean,Kharif,0.26,Black,1109.6,Rainfed,50117,6,0,78.7,40000,19021,0.2364
FC-000082,AP,AP-Upland,Rice,Rabi,0.33,ClayLoam,758.1,Canal,46552,3,0,79.7,40000,34914,0.5091
FC-000083,UP,UP-Eastern,Rice,Kharif,0.67,Black,702.3,Canal,91498,2,1,32.1,43178,31379,0.8091
FC-000084,UP,UP-Bundelkhand,Rice,Rabi,1.19,ClayLoam,688.4,Rainfed,75712,0,0,70.3,40000,22735,0.5684
FC-000085,RJ,RJ-Marwar,Mustard,Rabi,1.02,Sandy,250.0,Drip,82600,2,0,99.3,46006,34977,0.2688
FC-000086,MP,MP-Malwa,Mustard,Rabi,0.96,Alluvial,923.2,Rainfed,81867,1,0,80.1,53903,400000,0.7999
FC-000087,UP,UP-Central,Pulses,Rabi,2.61,Sandy,1236.3,Rainfed,127160,4,0,86.4,69475,36730,0.1956
